corpus,variant,model,accuracy,precision,recall,f1,seed
pre-filtered-corpus,standard,logistic_regression,0.8022,0.8029,0.8022,0.8021,99
pre-filtered-corpus,standard,naive_bayes,0.7733,0.7739,0.7733,0.7732,99
pre-filtered-corpus,standard,svm,0.7978,0.7981,0.7978,0.7977,99
pre-filtered-corpus,standard,random_forest,0.7644,0.7646,0.7644,0.7644,99
pre-filtered-corpus,standard,ffn,0.7622,0.7622,0.7622,0.7622,99
pre-filtered-corpus,standard,cnn,0.7889,0.7892,0.7889,0.7888,99
pre-filtered-corpus,standard,rnn,0.7644,0.768,0.7644,0.7637,99
pre-filtered-corpus,irony,logistic_regression,0.8044,0.805,0.8044,0.8043,99
pre-filtered-corpus,irony,naive_bayes,0.7778,0.7783,0.7778,0.7777,99
pre-filtered-corpus,irony,svm,0.7911,0.7912,0.7911,0.7911,99
pre-filtered-corpus,irony,random_forest,0.7644,0.7645,0.7644,0.7644,99
pre-filtered-corpus,irony,ffn,0.7778,0.7783,0.7778,0.7777,99
pre-filtered-corpus,irony,cnn,0.8022,0.8036,0.8022,0.802,99
pre-filtered-corpus,irony,rnn,0.7711,0.7745,0.7711,0.7704,99
pre-filtered-corpus,obfuscated,logistic_regression,0.7889,0.7902,0.7889,0.7887,99
pre-filtered-corpus,obfuscated,naive_bayes,0.7689,0.7692,0.7689,0.7688,99
pre-filtered-corpus,obfuscated,svm,0.7978,0.7981,0.7978,0.7977,99
pre-filtered-corpus,obfuscated,random_forest,0.74,0.7406,0.74,0.7398,99
pre-filtered-corpus,obfuscated,ffn,0.7422,0.7424,0.7422,0.7422,99
pre-filtered-corpus,obfuscated,cnn,0.7867,0.7894,0.7867,0.7862,99
pre-filtered-corpus,obfuscated,rnn,0.7556,0.7639,0.7556,0.7536,99
raw-corpus,standard,logistic_regression,0.8067,0.8074,0.8067,0.8066,99
raw-corpus,standard,naive_bayes,0.7978,0.7983,0.7978,0.7977,99
raw-corpus,standard,svm,0.8,0.8001,0.8,0.8,99
raw-corpus,standard,random_forest,0.7644,0.7645,0.7644,0.7644,99
raw-corpus,standard,ffn,0.7667,0.7667,0.7667,0.7667,99
raw-corpus,standard,cnn,0.8067,0.807,0.8067,0.8066,99
raw-corpus,standard,rnn,0.7756,0.7785,0.7756,0.775,99
raw-corpus,irony,logistic_regression,0.8067,0.8077,0.8067,0.8065,99
raw-corpus,irony,naive_bayes,0.7978,0.7983,0.7978,0.7977,99
raw-corpus,irony,svm,0.8,0.8001,0.8,0.8,99
raw-corpus,irony,random_forest,0.7556,0.7559,0.7556,0.7555,99
raw-corpus,irony,ffn,0.7756,0.7757,0.7756,0.7755,99
raw-corpus,irony,cnn,0.7911,0.7957,0.7911,0.7903,99
raw-corpus,irony,rnn,0.7867,0.7869,0.7867,0.7866,99
raw-corpus,obfuscated,logistic_regression,0.8178,0.8184,0.8178,0.8177,99
raw-corpus,obfuscated,naive_bayes,0.8022,0.8025,0.8022,0.8022,99
raw-corpus,obfuscated,svm,0.8022,0.8024,0.8022,0.8022,99
raw-corpus,obfuscated,random_forest,0.7556,0.7561,0.7556,0.7554,99
raw-corpus,obfuscated,ffn,0.7889,0.7889,0.7889,0.7889,99
raw-corpus,obfuscated,cnn,0.8289,0.8289,0.8289,0.8289,99
raw-corpus,obfuscated,rnn,0.7933,0.7959,0.7933,0.7929,99
raw-corpus,standard,bert_base,0.8666666666666667,0.8669275929549902,0.8666666666666667,0.866642958748222,99
raw-corpus,irony,bert_base,0.8644444444444445,0.8646245059288538,0.8644444444444445,0.8644277071243364,99
raw-corpus,obfuscated,bert_base,0.8644444444444445,0.8644516434892542,0.8644444444444445,0.8644437750309878,99
pre-filtered-corpus,standard,bert_base,0.8555555555555555,0.8581091835110617,0.8555555555555556,0.8552975922508769,99
pre-filtered-corpus,irony,bert_base,0.8533333333333334,0.8556092324208266,0.8533333333333333,0.8530982905982906,99
pre-filtered-corpus,obfuscated,bert_base,0.8577777777777778,0.8600823045267489,0.8577777777777778,0.8575498575498576,99
